trade_number,direction,entry_time,exit_time,entry_price,exit_price,position_size,profit_loss,profit_loss_pct,exit_reason
1,short,2021-04-15 17:00:00,2021-05-15 00:00:00,1.4754,1.5107067933434835,14161.580609593513,-500.0,-2.33710429443047,trailing_stop
2,long,2021-05-15 12:00:00,2021-05-31 00:00:00,2.2699,2.048904,2139.7925772270114,-472.8856003968605,-9.73593550376669,trailing_stop
3,short,2021-06-30 15:00:00,2021-06-30 18:00:00,1.2954,1.358652,7095.099809333042,-448.7792531399326,-4.655496771800271,trailing_stop
4,short,2021-07-15 00:00:00,2021-08-01 02:00:00,1.2782,1.35845,5300.919031663282,-425.39875229097805,-5.907468070227095,trailing_stop
5,long,2021-08-31 00:00:00,2021-09-30 00:00:00,2.7204,2.110284,661.2348820030737,-403.4299812681874,-22.42743714159683,trailing_stop
6,long,2021-09-30 13:00:00,2021-10-31 00:00:00,2.0864,2.036672124677147,7703.903874422846,-383.0987713665413,-2.3834296071152616,trailing_stop
7,short,2021-10-31 00:00:00,2021-11-30 00:00:00,1.9599,1.700651465856039,1197.8699015947848,310.5460160836187,15.244072012925102,take_profit
8,short,2021-12-01 22:00:00,2021-12-15 00:00:00,1.5443,1.4141617386586676,4692.232320938718,610.6389560565697,9.202501933390494,take_profit
9,short,2021-12-15 00:00:00,2022-01-31 00:00:00,1.2591,1.0265112390062292,1213.9222530569973,282.3446727812938,22.65817968237165,take_profit
10,short,2022-01-31 00:00:00,2022-03-15 00:00:00,1.0172,0.8170976753041209,1336.7885333658683,267.4944931533051,24.489400807731077,take_profit
11,short,2022-03-31 11:00:00,2022-04-01 19:00:00,1.2088,1.1734,13506.452552373223,478.12842035401343,3.0168740412476636,reversal_signal
12,long,2022-04-01 19:00:00,2022-04-15 00:00:00,1.1734,1.129986,10527.245951937632,-457.029855757421,-3.699846599625023,trailing_stop
13,long,2022-04-15 14:00:00,2022-04-30 00:00:00,0.9521,0.9319757644440763,21514.65312653287,-432.9659474223375,-2.1136682655103156,trailing_stop
14,long,2022-04-30 04:00:00,2022-04-30 14:00:00,0.8115,0.7909069716906778,19875.216120551533,-409.2908882244145,-2.5376498224673028,trailing_stop
15,short,2022-04-30 14:00:00,2022-05-15 00:00:00,0.7877,0.6814904741028271,11377.186936462025,1208.3656305651396,15.584887820625259,take_profit
16,short,2022-05-15 00:00:00,2022-08-31 13:00:00,0.528,0.4595,1634.0865410946747,111.93492806498523,14.907508161044625,reversal_signal
17,long,2022-08-31 13:00:00,2022-08-31 23:00:00,0.4595,0.448074,39588.00251571006,-452.332516744505,-2.486615886833521,trailing_stop
18,short,2022-10-15 00:00:00,2022-11-30 00:00:00,0.3666,0.32575942885290776,6182.466789243949,252.49547477065232,12.537034243614542,take_profit
19,short,2022-11-30 00:00:00,2022-12-31 00:00:00,0.3182,0.28182431552704756,19333.078156713087,703.2539509195238,12.907220019296496,take_profit
20,short,2022-12-31 00:00:00,2022-12-31 19:00:00,0.2448,0.2483,7886.298070306757,-27.602043246073674,-1.4095851792186864,reversal_signal
21,long,2022-12-31 19:00:00,2023-01-01 04:00:00,0.2483,0.244332,119288.89388927573,-473.338330952646,-1.5980668546113574,trailing_stop
22,long,2023-01-31 13:00:00,2023-02-15 23:00:00,0.3788,0.40604246121361665,38481.62099115249,1048.334067288567,7.191779623446837,take_profit
23,long,2023-02-15 23:00:00,2023-02-28 00:00:00,0.4204,0.383922,13642.188194095332,-497.6397409442097,-8.676974310180785,trailing_stop
24,long,2023-03-15 01:00:00,2023-03-15 12:00:00,0.3454,0.33699599999999996,56188.61474207108,-472.2091182923666,-2.4331210191082864,trailing_stop
25,short,2023-03-31 18:00:00,2023-04-15 00:00:00,0.4029,0.412585,46120.962114658934,-446.68151808047173,-2.3473950822254785,trailing_stop
26,long,2023-04-15 00:00:00,2023-05-01 15:00:00,0.4363,0.387981,8743.287206625646,-422.4668945369446,-11.074719229887686,trailing_stop
27,short,2023-05-31 15:00:00,2023-06-15 00:00:00,0.3719,0.3482489645838936,53779.936096298436,1271.9511732894941,6.791415860881567,take_profit
28,short,2023-06-15 00:00:00,2023-11-01 18:00:00,0.2645,0.2979,4345.179378187117,-145.12899123144965,-11.2118160456529,reversal_signal
29,long,2023-11-01 18:00:00,2023-11-15 00:00:00,0.2979,0.3202839176970576,31914.871919244924,714.3798663525134,7.513903221570195,take_profit
30,long,2023-11-15 00:00:00,2023-12-15 00:00:00,0.3581,0.4003366043362004,8138.287933994317,343.73364744219185,11.794639580061549,take_profit
31,long,2023-12-15 00:00:00,2024-02-15 18:00:00,0.6372,0.6007,1956.152354002156,-71.39956092107865,-5.728185812931574,reversal_signal
32,short,2024-02-15 18:00:00,2024-02-29 00:00:00,0.6007,0.6186250000000001,28071.698059730963,-503.1851877206798,-2.8975550616286205,trailing_stop
33,long,2024-02-29 00:00:00,2024-02-29 10:00:00,0.6375,0.6993286706472276,8952.943539205518,553.5485974087625,9.6986150034867,take_profit
34,long,2024-03-01 13:00:00,2024-03-31 00:00:00,0.6882,0.655677,15478.07719038077,-503.39350446275506,-4.725806451612913,trailing_stop
35,short,2024-04-15 18:00:00,2024-08-15 00:00:00,0.4443,0.3685659331228824,9374.37474495802,709.9595238658129,20.54830901907241,take_profit
36,short,2024-08-15 00:00:00,2024-11-15 00:00:00,0.3382,0.397233,8678.20995616289,-512.3007683421639,-14.861051322523554,trailing_stop
37,long,2024-11-15 12:00:00,2024-11-30 00:00:00,0.6521,0.7914070828461593,6551.539230113302,912.6758182992568,21.362840491666812,take_profit
38,long,2024-11-30 00:00:00,2024-11-30 22:00:00,1.0589,1.0774,1315.291103690477,24.332885418273772,1.7470960430635563,reversal_signal
39,short,2024-11-30 22:00:00,2024-12-01 19:00:00,1.0774,1.0946,16973.793757678763,-291.9492526320765,-1.571350264936977,reversal_signal
40,long,2024-12-01 19:00:00,2024-12-02 15:00:00,1.0946,1.1976334250189522,10606.449889957035,1092.8188594541618,9.412883703540299,take_profit
41,long,2024-12-02 15:00:00,2024-12-09 20:00:00,1.2078,1.046232,3525.3775742692833,-569.5882039195393,-13.37704918032786,trailing_stop
42,short,2024-12-09 20:00:00,2024-12-12 05:00:00,1.0422,1.162712,4486.785366024448,-540.7114780303381,-10.364733485162269,trailing_stop
43,short,2024-12-13 15:00:00,2024-12-17 10:00:00,1.0843,1.0959,11460.310765851707,-132.93960488388043,-1.0584907382060416,reversal_signal
44,long,2024-12-17 10:00:00,2024-12-18 01:00:00,1.0959,1.044846,9897.069515871264,-505.28498706329304,-4.6586367369285675,trailing_stop
45,short,2024-12-18 15:00:00,2024-12-19 17:00:00,1.0226,0.9193170147949867,12438.616893763003,1284.6974846093517,11.234751836725865,take_profit
46,short,2024-12-19 17:00:00,2025-01-02 10:00:00,0.904,0.9653,5874.3227938565315,-360.0959872634055,-6.350357401843986,reversal_signal
47,long,2025-01-02 10:00:00,2025-01-03 09:00:00,0.9653,1.049325679258148,10138.384925318729,851.8846799304739,8.704618176540757,take_profit
48,long,2025-01-06 15:00:00,2025-01-07 15:00:00,1.095,1.051677,13041.748188605756,-565.0076567749671,-3.9564383561643823,trailing_stop
49,short,2025-01-09 13:00:00,2025-01-10 06:00:00,0.8819,0.936068,9883.278926532368,-535.3574528924053,-5.786759081605187,trailing_stop
50,short,2025-01-13 11:00:00,2025-01-14 06:00:00,0.8926,0.9585910000000001,7693.340091930846,-507.6912060066095,-6.884166448464479,trailing_stop
51,long,2025-01-15 14:00:00,2025-01-20 00:00:00,1.0511,0.9813869999999999,6908.246003032043,-481.59455360937295,-6.632385120350115,trailing_stop
52,short,2025-01-22 07:00:00,2025-01-27 06:00:00,0.99,0.8947686211326792,15595.137918858545,1485.146487638939,10.643129030024356,take_profit
53,short,2025-01-29 12:00:00,2025-01-30 01:00:00,0.9239,0.955763,16621.17324079868,-529.6004429715679,-3.3337762604327636,trailing_stop
54,short,2025-01-31 18:00:00,2025-02-02 03:00:00,0.9485,0.8701154392383458,11161.614531892554,874.8982524732947,9.008524297680331,take_profit
55,short,2025-02-02 03:00:00,2025-02-03 00:00:00,0.8683,0.7881897421575855,10364.04000615156,830.2659171818999,10.163829032222772,take_profit
56,short,2025-02-03 01:00:00,2025-02-12 10:00:00,0.6249,0.7926,2776.545587542219,-465.62669503083004,-21.15821347464042,reversal_signal
57,long,2025-02-12 10:00:00,2025-02-18 16:00:00,0.7926,0.74844,12714.335736961582,-561.4650661442232,-5.571536714610136,trailing_stop
58,short,2025-02-23 03:00:00,2025-02-23 07:00:00,0.7695,0.7864869999999999,31342.32930121908,-532.4121478398077,-2.159857696312839,trailing_stop
59,short,2025-02-24 01:00:00,2025-02-24 14:00:00,0.7651,0.7197125829941662,25074.879326526632,1138.0840043640258,6.306325341292762,take_profit
60,short,2025-02-24 14:00:00,2025-02-25 09:00:00,0.7153,0.6524031589871693,15849.557293345208,996.887085203286,9.640793449019425,take_profit
61,short,2025-02-26 13:00:00,2025-03-02 15:00:00,0.6647,0.6966979999999999,18974.818200608646,-607.1562327830749,-4.592807787592323,trailing_stop
62,short,2025-03-09 10:00:00,2025-03-10 17:00:00,0.7748,0.6880704062862398,11357.267325133462,985.0111808073893,12.60475569380619,take_profit
